,id,grid,start_hour,end_hour,duration,lon,lat,gps2id
235749,5EBEA276FCB4A19AC5C987F5C7CC8908,60524,5,6,1,109.42951,18.28993,1216
235750,5EBEA276FCB4A19AC5C987F5C7CC8908,60552,10,11,1,109.41729,18.30014,1218
235751,5EBEA276FCB4A19AC5C987F5C7CC8908,60401,11,13,2,109.47444,18.27583,1414
235752,5EBEA276FCB4A19AC5C987F5C7CC8908,60621,13,15,2,109.48354,18.27451,1464
235753,5EBEA276FCB4A19AC5C987F5C7CC8908,38361,19,20,1,109.43667,18.29201,1267
235754,C6702CA511246E70666F9E56EFC53769,60221,1,7,6,109.52569,18.29188,1616
235755,C6702CA511246E70666F9E56EFC53769,30851,8,9,1,109.5616,18.27396,1713
235756,C6702CA511246E70666F9E56EFC53769,31561,10,12,2,109.56792,18.28479,1765
235757,C6702CA511246E70666F9E56EFC53769,30851,15,16,1,109.5616,18.27396,1713
235758,C6702CA511246E70666F9E56EFC53769,31561,16,18,2,109.56792,18.28479,1765
235765,EEF2FC7D161D746ED74FFF65C3D590CD,31781,12,14,2,109.19847,18.2975,367
235766,EEF2FC7D161D746ED74FFF65C3D590CD,31271,19,20,1,109.48958,18.26257,1462
235767,EEF2FC7D161D746ED74FFF65C3D590CD,30171,20,23,3,109.48458,18.27139,1463
235771,3B6FF1F8D896A0A62DC7E65967011999,39183,0,12,12,109.55542,18.28208,1715
235772,3B6FF1F8D896A0A62DC7E65967011999,31561,13,15,2,109.56792,18.28479,1765
235773,3B6FF1F8D896A0A62DC7E65967011999,39183,15,20,5,109.55542,18.28208,1715
235781,7B1A07C39637E996C01DF0A3D287D3C6,39371,1,14,13,109.56627,18.2646,1762
235782,7B1A07C39637E996C01DF0A3D287D3C6,31071,17,19,2,109.58257,18.28458,1815
235792,DEEF519781F9588D37AD928845C2355A,31781,13,15,2,109.19847,18.2975,367
235793,DEEF519781F9588D37AD928845C2355A,31521,18,21,3,109.51458,18.22542,1555
235794,DEEF519781F9588D37AD928845C2355A,30511,22,23,1,109.51069,18.24208,1558
235795,DB4DF566D4757FF3BB488F82DE126248,30851,10,11,1,109.5616,18.27396,1713
235796,DB4DF566D4757FF3BB488F82DE126248,31561,12,17,5,109.56792,18.28479,1765
235813,25DF9BDDEDA9DA85FA8972A7B6B93BF8,30681,0,10,10,109.48493,18.26917,1463
235814,25DF9BDDEDA9DA85FA8972A7B6B93BF8,60054,12,15,3,109.3016,18.31229,770
235815,25DF9BDDEDA9DA85FA8972A7B6B93BF8,30681,18,19,1,109.48493,18.26917,1463
235816,25DF9BDDEDA9DA85FA8972A7B6B93BF8,30361,20,21,1,109.50347,18.24,1508
235819,FBC323A047041F71D8997C22FDE88F17,30181,1,9,8,109.51597,18.23313,1557
235820,FBC323A047041F71D8997C22FDE88F17,38346,10,17,7,109.49688,18.21306,1503
235821,FBC323A047041F71D8997C22FDE88F17,38017,19,21,2,109.49729,18.21424,1504
235826,0312B43ACF9ED1D8304E325E851AEE29,30851,0,9,9,109.5616,18.27396,1713
235827,0312B43ACF9ED1D8304E325E851AEE29,31561,10,12,2,109.56792,18.28479,1765
235828,0312B43ACF9ED1D8304E325E851AEE29,30851,13,14,1,109.5616,18.27396,1713
235829,0312B43ACF9ED1D8304E325E851AEE29,31561,14,15,1,109.56792,18.28479,1765
235830,0312B43ACF9ED1D8304E325E851AEE29,30851,15,19,4,109.5616,18.27396,1713
235835,EEAA904909853FCE4C1006E1C626BEA2,60231,0,11,11,109.49903,18.21972,1504
235838,EEAA904909853FCE4C1006E1C626BEA2,60231,21,23,2,109.49903,18.21972,1504
235844,1FC5887E4053936D3ED4D738338DC172,31421,0,7,7,109.55382,18.22347,1705
235845,1FC5887E4053936D3ED4D738338DC172,30851,11,23,12,109.5616,18.27396,1713
235848,9F7BD4B191C6CDB262073FE9BC5F12C5,30281,0,3,3,109.50597,18.27583,1514
235849,9F7BD4B191C6CDB262073FE9BC5F12C5,38127,4,9,5,109.50833,18.27222,1513
235850,9F7BD4B191C6CDB262073FE9BC5F12C5,38721,9,10,1,109.50368,18.27542,1514
235919,91FC837E1F046F1B43F9D8C2C0F1555F,30321,19,21,2,109.49563,18.29611,1467
235920,91FC837E1F046F1B43F9D8C2C0F1555F,39321,21,23,2,109.529,18.2167,1604
235966,7DE63B500AAA8596FED98730536D4512,30351,0,11,11,109.41701,18.29292,1217
235967,7DE63B500AAA8596FED98730536D4512,30661,12,13,1,109.37028,18.24361,1008
235968,7DE63B500AAA8596FED98730536D4512,30341,13,14,1,109.3625,18.29167,966
236008,13664B2E5419DDA8E26BAB65AA04153C,39191,0,16,16,109.51493,18.23472,1557
236009,13664B2E5419DDA8E26BAB65AA04153C,30271,17,18,1,109.49132,18.23153,1456
236010,13664B2E5419DDA8E26BAB65AA04153C,30191,20,21,1,109.50361,18.22701,1506
236014,2C3EB493C3D5668656C0F89E35138F88,30111,0,1,1,109.47583,18.30542,1419
236015,2C3EB493C3D5668656C0F89E35138F88,60421,1,4,3,109.46333,18.31743,1371
236016,2C3EB493C3D5668656C0F89E35138F88,30821,5,6,1,109.43681,18.33639,1274
236017,2C3EB493C3D5668656C0F89E35138F88,60221,18,21,3,109.52569,18.29188,1616
236018,2C3EB493C3D5668656C0F89E35138F88,30821,22,23,1,109.43681,18.33639,1274
236019,DF98647F15F7D91E899C4DF73529607A,30921,5,7,2,109.53903,18.29451,1667
236020,DF98647F15F7D91E899C4DF73529607A,60371,7,9,2,109.53063,18.30056,1618
236021,DF98647F15F7D91E899C4DF73529607A,31931,11,16,5,109.54771,18.29403,1667
236026,7B28F954C024CD32BD4419981FD19B1F,31781,12,14,2,109.19847,18.2975,367
236027,7B28F954C024CD32BD4419981FD19B1F,38105,18,23,5,109.40299,18.29229,1117
236035,8265A029C672FE0377EF574CC3ADF2A8,39183,14,16,2,109.55542,18.28208,1715
236036,8265A029C672FE0377EF574CC3ADF2A8,30854,21,23,2,109.56889,18.27076,1763
236050,CA3896FB33E9BC68E91955EDFF5D709B,30234,18,20,2,109.60681,18.29979,1918
236051,CA3896FB33E9BC68E91955EDFF5D709B,30854,22,23,1,109.56889,18.27076,1763
236061,64F4CDF664AA04E7B79DE93C57128CF6,31931,2,7,5,109.54771,18.29403,1667
236062,64F4CDF664AA04E7B79DE93C57128CF6,39181,10,18,8,109.55153,18.28035,1715
236080,6B806948BC9187A91D033B4096721B00,31561,1,7,6,109.56792,18.28479,1765
236081,6B806948BC9187A91D033B4096721B00,31071,9,20,11,109.58257,18.28458,1815
236113,5A31AA15CC197C9237A9A16B14069CB4,31864,19,23,4,109.49014,18.28333,1465
236150,56F4A25A0E603B5B2CF39EF89A2DE812,31611,0,8,8,109.63076,18.34944,2026
236151,56F4A25A0E603B5B2CF39EF89A2DE812,60231,11,13,2,109.49903,18.21972,1504
236152,56F4A25A0E603B5B2CF39EF89A2DE812,30711,16,18,2,109.50271,18.25347,1510
236153,56F4A25A0E603B5B2CF39EF89A2DE812,30421,18,21,3,109.50021,18.25861,1511
236154,56F4A25A0E603B5B2CF39EF89A2DE812,31611,22,23,1,109.63076,18.34944,2026
236159,C45AE1932A145D3CA4B8A65E78F9575D,38291,1,9,8,109.51618,18.24313,1558
236160,C45AE1932A145D3CA4B8A65E78F9575D,60311,11,12,1,109.52097,18.24319,1558
236161,C45AE1932A145D3CA4B8A65E78F9575D,31261,12,13,1,109.51174,18.2466,1559
236162,C45AE1932A145D3CA4B8A65E78F9575D,38291,14,16,2,109.51618,18.24313,1558
236163,C45AE1932A145D3CA4B8A65E78F9575D,30421,18,20,2,109.50021,18.25861,1511
236181,E65658506C2BF9C993BA69EE6D38B3C6,31951,1,13,12,109.52174,18.30299,1568
236182,E65658506C2BF9C993BA69EE6D38B3C6,60361,14,16,2,109.51938,18.29681,1567
236183,E65658506C2BF9C993BA69EE6D38B3C6,31951,16,20,4,109.52174,18.30299,1568
236184,E65658506C2BF9C993BA69EE6D38B3C6,31561,21,22,1,109.56792,18.28479,1765
236217,1895F5980F209DD67ED920915EFD0AEA,60401,0,8,8,109.47444,18.27583,1414
236269,4EC716C6116001DCCA61DAB5E48F9371,38391,0,7,7,109.44111,18.29083,1266
236270,4EC716C6116001DCCA61DAB5E48F9371,60421,7,13,6,109.46333,18.31743,1371
236271,4EC716C6116001DCCA61DAB5E48F9371,60201,14,17,3,109.5041,18.2509,1510
236277,372BCC9E34709FCD9ED7D887E115E777,31561,1,13,12,109.56792,18.28479,1765
236278,372BCC9E34709FCD9ED7D887E115E777,30854,13,16,3,109.56889,18.27076,1763
236279,372BCC9E34709FCD9ED7D887E115E777,31561,17,18,1,109.56792,18.28479,1765
236280,372BCC9E34709FCD9ED7D887E115E777,31071,19,23,4,109.58257,18.28458,1815
